Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
90	186	0	0.737667007	101324.986	101324.982	101324.971	101324.995	0.00957508176	0	0	498.021	0	0	3
91	188	0	0.745863308	101324.986	101324.981	101324.971	101324.995	0.00971386886	0	0	498.428	0	0	3
92	190	0	0.754059608	101324.984	101324.981	101324.971	101324.993	0.0098849526	0	0	497.909	0	0	3
93	192	0	0.762255908	101324.982	101324.981	101324.971	101324.992	0.010069768	0	0	498.336	0	0	3
94	193	0	0.770452208	101324.98	101324.981	101324.971	101324.991	0.0101573005	0	0	497.841	0	0	3
95	195	0	0.778648508	101324.979	101324.981	101324.971	101324.991	0.0101488741	0	0	498.236	0	0	3
96	197	0	0.786844808	101324.981	101324.981	101324.971	101324.991	0.0100257361	0	0	497.653	0	0	3
97	199	0	0.795041108	101324.98	101324.981	101324.971	101324.991	0.00983095328	0	0	498.007	0	0	3
98	201	0	0.803237408	101324.981	101324.981	101324.971	101324.991	0.00951984356	0	0	497.479	0	0	3
99	203	0	0.811433708	101324.981	101324.981	101324.971	101324.991	0.00921425385	0	0	498.013	0	0	3
100	205	0	0.819630008	101324.984	101324.981	101324.971	101324.991	0.00888170548	0	0	497.644	0	0	3
101	208	0	0.827826308	101324.985	101324.981	101324.971	101324.991	0.00860798679	0	0	498.221	0	0	3
102	210	0	0.836022608	101324.984	101324.981	101324.971	101324.991	0.00838012395	0	0	497.917	0	0	3
103	212	0	0.844218909	101324.984	101324.981	101324.971	101324.991	0.00812289216	0	0	498.211	0	0	3
104	214	0	0.852415209	101324.98	101324.981	101324.971	101324.991	0.00793618971	0	0	497.742	0	0	3
105	216	0	0.860611509	101324.975	101324.981	101324.971	101324.991	0.00772478219	0	0	498.122	0	0	3
106	218	0	0.868807809	101324.975	101324.981	101324.971	101324.991	0.00748933047	0	0	497.719	0	0	3
107	220	0	0.877004109	101324.974	101324.981	101324.971	101324.991	0.00728208489	0	0	498.138	0	0	3
108	222	0	0.885200409	101324.978	101324.981	101324.971	101324.991	0.00708913076	0	0	497.751	0	0	3
109	224	0	0.893396709	101324.978	101324.981	101324.971	101324.991	0.00696788443	0	0	498.219	0	0	3
110	227	0	0.901593009	101324.985	101324.981	101324.971	101324.991	0.00690772035	0	0	497.815	0	0	3
111	229	0	0.909789309	101324.984	101324.981	101324.971	101324.991	0.0068740178	0	0	498.3	0	0	3
112	231	0	0.917985609	101324.986	101324.981	101324.971	101324.991	0.00683858494	0	0	497.81	0	0	3
113	234	0	0.926181909	101324.982	101324.981	101324.971	101324.991	0.00676633079	0	0	498.26	0	0	3
114	236	0	0.934378209	101324.98	101324.981	101324.971	101324.991	0.00664861812	0	0	497.774	0	0	3
115	238	0	0.94257451	101324.978	101324.981	101324.971	101324.991	0.00644808137	0	0	498.2	0	0	3
116	241	0	0.95077081	101324.979	101324.981	101324.971	101324.991	0.00633537426	0	0	497.695	0	0	3
117	243	0	0.95896711	101324.975	101324.981	101324.971	101324.991	0.00633537426	0	0	498.095	0	0	3
118	245	0	0.96716341	101324.977	101324.981	101324.972	101324.991	0.00633537426	0	0	497.559	0	0	3
119	248	0	0.97535971	101324.981	101324.981	101324.972	101324.991	0.00633537426	0	0	497.859	0	0	3
120	250	0	0.98355601	101324.986	101324.981	101324.972	101324.991	0.00633537426	0	0	497.292	0	0	3
121	253	0	0.99175231	101324.989	101324.981	101324.972	101324.991	0.00633537426	0	0	497.78	0	0	3
122	255	0	0.99994861	101324.987	101324.981	101324.972	101324.991	0.00633537426	0	0	497.393	0	0	3
123	257	0	1.00814491	101324.982	101324.981	101324.972	101324.991	0.00633537426	0.00101324982	15.9	497.987	0	0	3
124	259	0	1.01634121	101324.978	101324.981	101324.972	101324.991	0.00633537426	0.00101324978	15.9	497.699	0	0	3
