Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
72	150	0	0.590133606	293.199899	293.199874	293.199783	293.199931	4.83590015e-005	0	0	0.277914	0	0	3
73	152	0	0.598329906	293.199906	293.199874	293.199783	293.199931	4.73726181e-005	0	0	0.274069	0	0	3
74	154	0	0.606526206	293.199908	293.199875	293.199783	293.199931	4.62704139e-005	0	0	0.277555	0	0	3
75	156	0	0.614722506	293.199924	293.199875	293.199783	293.199931	4.51395647e-005	0	0	0.274216	0	0	3
76	158	0	0.622918806	293.199927	293.199876	293.199783	293.199931	4.39491943e-005	0	0	0.279849	0	0	3
77	160	0	0.631115106	293.199934	293.199877	293.199783	293.199934	4.26173618e-005	0	0	0.275498	0	0	3
78	162	0	0.639311406	293.199932	293.199878	293.199783	293.199934	4.11445714e-005	0	0	0.278526	0	0	3
79	164	0	0.647507707	293.199923	293.199879	293.199783	293.199934	3.95404809e-005	0	0	0.275231	0	0	3
80	166	0	0.655704007	293.199918	293.199879	293.199783	293.199934	3.78045779e-005	0	0	0.277348	0	0	3
81	168	0	0.663900307	293.199912	293.19988	293.199783	293.199934	3.5948407e-005	0	0	0.274051	0	0	3
82	170	0	0.672096607	293.199904	293.199881	293.199783	293.199934	3.37901438e-005	0	0	0.278231	0	0	3
83	172	0	0.680292907	293.199893	293.199882	293.199783	293.199934	3.14466586e-005	0	0	0.27634	0	0	3
84	174	0	0.688489207	293.199893	293.199883	293.199783	293.199934	2.88953149e-005	0	0	0.278609	0	0	3
85	176	0	0.696685507	293.199887	293.199884	293.199783	293.199934	2.92667173e-005	0	0	0.277736	0	0	3
86	178	0	0.704881807	293.199891	293.199885	293.199783	293.199934	3.04211939e-005	0	0	0.278124	0	0	3
87	180	0	0.713078107	293.199892	293.199886	293.199783	293.199934	3.16947078e-005	0	0	0.276344	0	0	3
88	182	0	0.721274407	293.1999	293.199888	293.199783	293.199934	3.31628035e-005	0	0	0.277724	0	0	3
89	184	0	0.729470707	293.199901	293.199889	293.199783	293.199934	3.47576595e-005	0	0	0.276229	0	0	3
90	186	0	0.737667007	293.1999	293.199891	293.199783	293.199934	3.64658214e-005	0	0	0.277958	0	0	3
91	188	0	0.745863308	293.199896	293.199893	293.199783	293.199934	3.82304532e-005	0	0	0.274927	0	0	3
92	190	0	0.754059608	293.199893	293.199894	293.199784	293.199934	4.00009244e-005	0	0	0.277903	0	0	3
93	192	0	0.762255908	293.199892	293.199896	293.199792	293.199934	4.17400321e-005	0	0	0.275396	0	0	3
94	193	0	0.770452208	293.199893	293.199898	293.1998	293.199934	4.33573522e-005	0	0	0.278909	0	0	3
95	195	0	0.778648508	293.1999	293.199899	293.199808	293.199934	4.49681004e-005	0	0	0.274965	0	0	3
96	197	0	0.786844808	293.199913	293.199901	293.199818	293.199934	4.66586296e-005	0	0	0.276942	0	0	3
97	199	0	0.795041108	293.199919	293.199903	293.199836	293.199934	4.82863614e-005	0	0	0.274016	0	0	3
98	201	0	0.803237408	293.199927	293.199904	293.199851	293.199934	4.97610334e-005	0	0	0.27723	0	0	3
99	203	0	0.811433708	293.199922	293.199905	293.199869	293.199934	5.05389374e-005	0	0	0.274733	0	0	3
100	205	0	0.819630008	293.199918	293.199906	293.199877	293.199934	5.0741976e-005	0	0	0.27694	0	0	3
101	208	0	0.827826308	293.199907	293.199907	293.199886	293.199934	4.73052233e-005	0	0	0.273356	0	0	3
102	210	0	0.836022608	293.1999	293.199907	293.199887	293.199934	4.70739786e-005	0	0	0.279158	0	0	3
103	212	0	0.844218909	293.1999	293.199907	293.199887	293.199934	4.70739786e-005	0	0	0.27549	0	0	3
104	214	0	0.852415209	293.199903	293.199907	293.199887	293.199934	4.70739786e-005	0	0	0.278458	0	0	3
105	216	0	0.860611509	293.199903	293.199907	293.199887	293.199934	4.70739786e-005	0	0	0.275141	0	0	3
106	218	0	0.868807809	293.199911	293.199907	293.199887	293.199934	4.67319866e-005	0	0	0.277451	0	0	3
107	220	0	0.877004109	293.199916	293.199908	293.199887	293.199934	4.58138607e-005	0	0	0.275201	0	0	3
108	222	0	0.885200409	293.199924	293.199908	293.199887	293.199934	4.49441431e-005	0	0	0.277122	0	0	3
109	224	0	0.893396709	293.199915	293.199908	293.199887	293.199934	4.3990769e-005	0	0	0.276061	0	0	3
110	227	0	0.901593009	293.199922	293.199908	293.199887	293.199934	4.32850357e-005	0	0	0.277258	0	0	3
111	229	0	0.909789309	293.199906	293.199908	293.199887	293.199934	4.25742457e-005	0	0	0.27567	0	0	3
112	231	0	0.917985609	293.199909	293.199908	293.199887	293.199934	4.21921646e-005	0	0	0.279533	0	0	3
113	234	0	0.926181909	293.199904	293.199908	293.199887	293.199934	4.19575219e-005	0	0	0.275805	0	0	3
114	236	0	0.934378209	293.199907	293.199909	293.199887	293.199934	4.18522858e-005	0	0	0.277713	0	0	3
115	238	0	0.94257451	293.199913	293.199909	293.199887	293.199934	4.17539577e-005	0	0	0.274063	0	0	3
116	241	0	0.95077081	293.199936	293.19991	293.199887	293.199936	4.18898343e-005	0	0	0.276749	0	0	3
117	243	0	0.95896711	293.199934	293.19991	293.199887	293.199936	4.18707009e-005	0	0	0.275208	0	0	3
118	245	0	0.96716341	293.199936	293.199911	293.199887	293.199936	4.17154916e-005	0	0	0.276423	0	0	3
119	248	0	0.97535971	293.199926	293.199911	293.199887	293.199936	4.12386565e-005	0	0	0.273903	0	0	3
120	250	0	0.98355601	293.199915	293.199911	293.199887	293.199936	4.05164279e-005	0	0	0.277114	0	0	3
121	253	0	0.99175231	293.199905	293.199911	293.199887	293.199936	3.99005385e-005	0	0	0.274203	0	0	3
122	255	0	0.99994861	293.199898	293.199911	293.199887	293.199936	3.9346087e-005	0	0	0.277155	0	0	3
123	257	0	1.00814491	293.199895	293.199911	293.199887	293.199936	3.88467124e-005	4.57871323e-006	11.7	0.274115	0	0	3
124	259	0	1.01634121	293.199898	293.199911	293.199887	293.199936	3.87337178e-005	4.57871323e-006	11.8	0.277378	0	0	3
125	262	0	1.02453751	293.1999	293.19991	293.199887	293.199936	3.85888972e-005	4.57871323e-006	11.8	0.274545	0	0	3
126	264	0	1.03273381	293.199908	293.19991	293.199887	293.199936	3.84261917e-005	4.57871323e-006	11.9	0.278032	0	0	3
127	266	0	1.04093011	293.199918	293.19991	293.199887	293.199936	3.81473857e-005	4.57871323e-006	12	0.275484	0	0	3
128	269	0	1.04912641	293.199926	293.19991	293.199887	293.199936	3.77456464e-005	4.57871323e-006	12.1	0.27944	0	0	3
129	271	0	1.05732271	293.199922	293.19991	293.199887	293.199936	3.73574555e-005	4.57871323e-006	12.2	0.275951	0	0	3
130	273	0	1.06551901	293.199918	293.19991	293.199887	293.199936	3.71432292e-005	4.57871323e-006	12.3	0.277085	0	0	3
131	276	0	1.07371531	293.199907	293.19991	293.199887	293.199936	3.69929948e-005	4.57871323e-006	12.3	0.276427	0	0	3
132	278	0	1.08191161	293.199902	293.19991	293.199887	293.199936	3.69647086e-005	4.57871323e-006	12.3	0.278001	0	0	3
133	280	0	1.09010791	293.199896	293.19991	293.199887	293.199936	3.68858186e-005	4.57871323e-006	12.4	0.276688	0	0	3
134	283	0	1.09830421	293.199901	293.19991	293.199887	293.199936	3.66911109e-005	4.57871323e-006	12.4	0.277473	0	0	3
135	285	0	1.10650051	293.199906	293.19991	293.199887	293.199936	3.64117968e-005	4.57871323e-006	12.5	0.276396	0	0	3
136	287	0	1.11469681	293.199922	293.19991	293.199887	293.199936	3.58254782e-005	4.57871323e-006	12.7	0.277705	0	0	3
137	290	0	1.12289311	293.199927	293.19991	293.199887	293.199936	3.51369702e-005	4.57871323e-006	13	0.276855	0	0	3
138	292	0	1.13108941	293.199933	293.19991	293.199887	293.199936	3.42981192e-005	4.57871323e-006	13.3	0.276665	0	0	3
139	294	0	1.13928571	293.199926	293.19991	293.199887	293.199936	3.34172766e-005	4.57871323e-006	13.7	0.275232	0	0	3
140	297	0	1.14748201	293.199923	293.19991	293.199887	293.199936	3.25971357e-005	4.57871323e-006	14	0.275548	0	0	3
141	299	0	1.15567831	293.199911	293.19991	293.199887	293.199936	3.17638197e-005	4.57871323e-006	14.4	0.275188	0	0	3
142	301	0	1.16387461	293.199909	293.199909	293.199887	293.199936	3.09478809e-005	4.57871323e-006	14.7	0.277349	0	0	3
143	303	0	1.17207091	293.199899	293.199909	293.199887	293.199936	3.01586151e-005	4.57871323e-006	15.1	0.274738	0	0	3
144	305	0	1.18026721	293.1999	293.199909	293.199887	293.199936	2.93892397e-005	4.57871323e-006	15.5	0.275973	0	0	3
145	307	0	1.18846351	293.199901	293.199909	293.199887	293.199936	2.84819953e-005	4.57871323e-006	16	0.275642	0	0	3
146	309	0	1.19665981	293.1999	293.199909	293.199887	293.199936	2.75230753e-005	4.57871323e-006	16.6	0.277901	0	0	3
147	311	0	1.20485611	293.199909	293.19991	293.199891	293.199936	2.63685987e-005	4.57871323e-006	17.3	0.27541	0	0	3
148	313	0	1.21305241	293.199908	293.19991	293.199892	293.199936	2.50950848e-005	4.57871323e-006	18.2	0.276324	0	0	3
149	315	0	1.22124871	293.1999	293.19991	293.199892	293.199936	2.36269891e-005	4.57871323e-006	19.3	0.27657	0	0	3
150	317	0	1.22944501	293.199901	293.19991	293.199892	293.199936	2.20321331e-005	4.57871323e-006	20.7	0.277326	0	0	3
151	319	0	1.23764131	293.199899	293.19991	293.199892	293.199936	2.03239712e-005	4.57871323e-006	22.5	0.275297	0	0	3
152	321	0	1.24583761	293.199912	293.19991	293.199892	293.199936	1.85593394e-005	4.57871323e-006	24.6	0.277047	0	0	3
153	323	0	1.25403391	293.199914	293.199911	293.199892	293.199936	1.67888682e-005	4.57871323e-006	27.2	0.274858	0	0	3
154	325	0	1.26223021	293.199917	293.199911	293.199892	293.199936	1.50497605e-005	4.57871323e-006	30.4	0.277283	0	0	3
155	327	0	1.27042651	293.199914	293.199911	293.199893	293.199936	1.36339099e-005	4.57871323e-006	33.5	0.274885	0	0	3
156	329	0	1.27862281	293.199912	293.199912	293.199895	293.199936	1.23376381e-005	4.57871323e-006	37.1	0.277226	0	0	3
157	331	0	1.28681911	293.199914	293.199912	293.199895	293.199936	1.08739547e-005	4.57871323e-006	42.1	0.275172	0	0	3
158	333	0	1.29501541	293.199911	293.199912	293.199895	293.199936	9.24622293e-006	4.57871323e-006	49.5	0.27703	0	0	3
159	335	0	1.30321171	293.199906	293.199912	293.199895	293.199936	7.77155088e-006	4.57871323e-006	58.9	0.27463	0	0	3
160	337	0	1.31140801	293.199907	293.199911	293.199895	293.199936	6.61097761e-006	4.57871323e-006	69.2	0.277306	0	0	3
161	339	0	1.31960431	293.199901	293.199911	293.199895	293.199936	5.8245879e-006	4.57871323e-006	78.6	0.275724	0	0	3
162	341	0	1.32780061	293.199905	293.199911	293.199895	293.199936	5.341041e-006	4.57871323e-006	85.7	0.277753	0	0	3
163	343	0	1.33599691	293.199907	293.199911	293.199895	293.199936	5.12514237e-006	4.57871323e-006	89.3	0.274541	0	0	3
164	345	0	1.34419321	293.199921	293.199911	293.199895	293.199936	5.02704063e-006	4.57871323e-006	91	0.275752	0	0	3
